iso2,year,gender,age_group,frequency
AD,1996,m,0-14,0
AD,1996,m,15-24,0
AD,1996,m,25-34,0
AD,1996,m,35-44,4
AD,1996,m,45-54,1
AD,1996,m,55-64,0
AD,1996,m,65+,0
AD,1996,f,0-14,0
AD,1996,f,15-24,1
AD,1996,f,25-34,1
AD,1996,f,35-44,0
AD,1996,f,45-54,0
AD,1996,f,55-64,1
AD,1996,f,65+,0
AD,1997,m,0-14,0
AD,1997,m,15-24,0
AD,1997,m,25-34,1
AD,1997,m,35-44,2
AD,1997,m,45-54,2
AD,1997,m,55-64,1
AD,1997,m,65+,6
AD,1997,f,0-14,0
AD,1997,f,15-24,1
AD,1997,f,25-34,2
AD,1997,f,35-44,3
AD,1997,f,45-54,0
AD,1997,f,55-64,0
AD,1997,f,65+,1
AD,1998,m,0-14,0
AD,1998,m,15-24,0
AD,1998,m,25-34,0
AD,1998,m,35-44,1
AD,1998,m,45-54,0
AD,1998,m,55-64,0
AD,1998,m,65+,0
AD,1999,m,0-14,0
AD,1999,m,15-24,0
AD,1999,m,25-34,0
AD,1999,m,35-44,1
AD,1999,m,45-54,1
AD,1999,m,55-64,0
AD,1999,m,65+,0
AD,1999,f,0-14,0
AD,1999,f,15-24,0
AD,1999,f,25-34,0
AD,1999,f,35-44,1
AD,1999,f,45-54,0
AD,1999,f,55-64,0
AD,1999,f,65+,0
AD,2000,m,0-14,0
AD,2000,m,15-24,0
AD,2000,m,25-34,1
AD,2000,m,35-44,0
AD,2000,m,45-54,0
AD,2000,m,55-64,0
AD,2000,m,65+,0
AD,2001,m,0-14,0
AD,2001,m,35-44,2
AD,2001,m,45-54,1
AD,2002,m,0-14,0
AD,2002,m,15-24,0
AD,2002,m,25-34,0
AD,2002,m,35-44,1
AD,2002,m,45-54,0
AD,2002,m,55-64,0
AD,2002,m,65+,0
AD,2002,f,0-14,0
AD,2002,f,15-24,1
AD,2002,f,25-34,0
AD,2002,f,35-44,0
AD,2002,f,45-54,0
AD,2002,f,55-64,0
AD,2002,f,65+,0
AD,2003,m,0-14,0
AD,2003,m,15-24,0
AD,2003,m,25-34,0
AD,2003,m,35-44,1
AD,2003,m,45-54,2
AD,2003,m,55-64,0
AD,2003,m,65+,0
AD,2003,f,0-14,0
AD,2003,f,15-24,1
AD,2003,f,25-34,1
AD,2003,f,35-44,1
AD,2003,f,45-54,0
AD,2003,f,55-64,0
AD,2003,f,65+,0
AD,2004,m,0-14,0
AD,2004,m,15-24,0
AD,2004,m,25-34,0
AD,2004,m,35-44,1
AD,2004,m,45-54,1
AD,2004,m,55-64,0
AD,2004,m,65+,0
AD,2004,f,0-14,0
AD,2004,f,15-24,0
AD,2004,f,25-34,1
AD,2004,f,35-44,0
AD,2004,f,45-54,0
AD,2004,f,55-64,0
AD,2004,f,65+,0
AD,2005,m,0-4,0
AD,2005,m,5-14,0
AD,2005,m,0-14,0
AD,2005,m,15-24,0
AD,2005,m,25-34,1
AD,2005,m,35-44,1
AD,2005,m,45-54,0
AD,2005,m,55-64,0
AD,2005,m,65+,0
AD,2005,m,unknown,0
AD,2005,f,0-4,0
AD,2005,f,5-14,0
AD,2005,f,0-14,0
AD,2005,f,15-24,1
AD,2005,f,25-34,1
AD,2005,f,35-44,1
AD,2005,f,45-54,0
AD,2005,f,55-64,0
AD,2005,f,65+,0
AD,2005,f,unknown,0
AD,2006,m,0-4,0
AD,2006,m,5-14,0
AD,2006,m,0-14,0
AD,2006,m,15-24,1
AD,2006,m,25-34,1
AD,2006,m,35-44,2
AD,2006,m,45-54,0
AD,2006,m,55-64,1
AD,2006,m,65+,1
AD,2006,m,unknown,0
AD,2006,f,0-4,0
AD,2006,f,5-14,0
AD,2006,f,0-14,0
AD,2006,f,15-24,0
AD,2006,f,25-34,1
AD,2006,f,35-44,0
AD,2006,f,45-54,1
AD,2006,f,55-64,0
AD,2006,f,65+,0
AD,2006,f,unknown,0
AD,2007,f,25-34,1
AD,2007,f,45-54,1
AD,2008,m,0-4,0
AD,2008,m,5-14,0
AD,2008,m,0-14,0
AD,2008,m,15-24,0
AD,2008,m,25-34,0
AD,2008,m,35-44,0
AD,2008,m,45-54,1
AD,2008,m,55-64,0
AD,2008,m,65+,0
AD,2008,m,unknown,0
AD,2008,f,0-4,0
AD,2008,f,5-14,0
AD,2008,f,0-14,0
AD,2008,f,15-24,0
AD,2008,f,25-34,0
AD,2008,f,35-44,1
AD,2008,f,45-54,1
AD,2008,f,55-64,0
AD,2008,f,65+,0
AD,2008,f,unknown,0
AE,1999,m,0-14,4
AE,1999,m,15-24,9
AE,1999,m,25-34,3
AE,1999,m,35-44,2
AE,1999,m,45-54,4
AE,1999,m,55-64,6
AE,1999,m,65+,5
AE,1999,f,0-14,9
AE,1999,f,15-24,11
AE,1999,f,25-34,5
AE,1999,f,35-44,3
AE,1999,f,45-54,0
AE,1999,f,55-64,3
AE,1999,f,65+,2
AE,2000,m,0-14,2
AE,2000,m,15-24,4
AE,2000,m,25-34,4
AE,2000,m,35-44,6
AE,2000,m,45-54,5
AE,2000,m,55-64,12
AE,2000,m,65+,10
AE,2000,f,0-14,3
AE,2000,f,15-24,16
AE,2000,f,25-34,1
AE,2000,f,35-44,3
AE,2000,f,45-54,0
AE,2000,f,55-64,0
AE,2000,f,65+,4
AE,2002,m,0-14,1
AE,2002,m,15-24,2
AE,2002,m,25-34,0
AE,2002,m,35-44,6
AE,2002,m,45-54,6
AE,2002,m,55-64,10
AE,2002,m,65+,0
AE,2002,f,0-14,3
AE,2002,f,15-24,3
AE,2002,f,25-34,8
AE,2002,f,35-44,3
AE,2002,f,45-54,4
AE,2002,f,55-64,10
AE,2002,f,65+,1
AE,2003,m,0-14,2
AE,2003,m,15-24,10
AE,2003,m,25-34,8
AE,2003,m,35-44,12
AE,2003,m,45-54,3
AE,2003,m,55-64,2
AE,2003,m,65+,10
AE,2003,f,0-14,4
AE,2003,f,15-24,9
AE,2003,f,25-34,5
AE,2003,f,35-44,3
AE,2003,f,45-54,3
AE,2003,f,55-64,2
AE,2003,f,65+,4
AE,2004,m,0-14,1
AE,2004,m,15-24,7
AE,2004,m,25-34,6
AE,2004,m,35-44,7
AE,2004,m,45-54,3
AE,2004,m,55-64,1
AE,2004,m,65+,7
AE,2004,f,0-14,3
AE,2004,f,15-24,6
AE,2004,f,25-34,2
AE,2004,f,35-44,7
AE,2004,f,45-54,2
AE,2004,f,55-64,2
AE,2004,f,65+,3
AE,2006,m,0-4,0
AE,2006,m,5-14,0
AE,2006,m,0-14,0
AE,2006,m,15-24,5
AE,2006,m,25-34,3
AE,2006,m,35-44,7
AE,2006,m,45-54,3
AE,2006,m,55-64,1
AE,2006,m,65+,4
AE,2006,f,0-4,0
AE,2006,f,5-14,2
AE,2006,f,0-14,2
AE,2006,f,15-24,6
AE,2006,f,25-34,4
AE,2006,f,35-44,5
AE,2006,f,45-54,3
AE,2006,f,55-64,4
AE,2006,f,65+,5
AE,2007,m,0-4,0
AE,2007,m,5-14,2
AE,2007,m,0-14,2
AE,2007,m,15-24,5
AE,2007,m,25-34,6
AE,2007,m,35-44,3
AE,2007,m,45-54,4
AE,2007,m,55-64,3
AE,2007,m,65+,10
AE,2007,f,0-4,0
AE,2007,f,5-14,1
AE,2007,f,0-14,1
AE,2007,f,15-24,8
AE,2007,f,25-34,6
AE,2007,f,35-44,3
AE,2007,f,45-54,2
AE,2007,f,55-64,0
AE,2007,f,65+,0
AE,2008,m,0-4,0
AE,2008,m,5-14,0
AE,2008,m,0-14,0
AE,2008,m,15-24,6
AE,2008,m,25-34,1
AE,2008,m,35-44,7
AE,2008,m,45-54,5
AE,2008,m,55-64,3
AE,2008,m,65+,6
AE,2008,m,unknown,0
AE,2008,f,0-4,0
AE,2008,f,5-14,0
AE,2008,f,0-14,0
AE,2008,f,15-24,10
AE,2008,f,25-34,4
AE,2008,f,35-44,1
AE,2008,f,45-54,1
AE,2008,f,55-64,3
AE,2008,f,65+,3
AE,2008,f,unknown,0
AF,1997,m,0-14,0
AF,1997,m,15-24,10
AF,1997,m,25-34,6
AF,1997,m,35-44,3
AF,1997,m,45-54,5
AF,1997,m,55-64,2
AF,1997,m,65+,0
AF,1997,f,0-14,5
AF,1997,f,15-24,38
AF,1997,f,25-34,36
AF,1997,f,35-44,14
AF,1997,f,45-54,8
AF,1997,f,55-64,0
AF,1997,f,65+,1
AF,1998,m,0-14,30
AF,1998,m,15-24,129
AF,1998,m,25-34,128
AF,1998,m,35-44,90
AF,1998,m,45-54,89
AF,1998,m,55-64,64
AF,1998,m,65+,41
AF,1998,f,0-14,45
AF,1998,f,15-24,350
AF,1998,f,25-34,419
AF,1998,f,35-44,194
AF,1998,f,45-54,118
AF,1998,f,55-64,61
AF,1998,f,65+,20
AF,1999,m,0-14,8
AF,1999,m,15-24,55
AF,1999,m,25-34,55
AF,1999,m,35-44,47
AF,1999,m,45-54,34
AF,1999,m,55-64,21
AF,1999,m,65+,8
AF,1999,f,0-14,25
AF,1999,f,15-24,139
AF,1999,f,25-34,160
AF,1999,f,35-44,110
AF,1999,f,45-54,50
AF,1999,f,55-64,25
AF,1999,f,65+,8
AF,2000,m,0-14,52
AF,2000,m,15-24,228
AF,2000,m,25-34,183
AF,2000,m,35-44,149
AF,2000,m,45-54,129
AF,2000,m,55-64,94
AF,2000,m,65+,80
AF,2000,f,0-14,93
AF,2000,f,15-24,414
AF,2000,f,25-34,565
AF,2000,f,35-44,339
AF,2000,f,45-54,205
AF,2000,f,55-64,99
AF,2000,f,65+,36
AF,2001,m,0-14,129
AF,2001,m,15-24,379
AF,2001,m,25-34,349
AF,2001,m,35-44,274
AF,2001,m,45-54,204
AF,2001,m,55-64,139
AF,2001,m,65+,103
AF,2001,f,0-14,146
AF,2001,f,15-24,799
AF,2001,f,25-34,888
AF,2001,f,35-44,586
AF,2001,f,45-54,375
AF,2001,f,55-64,179
AF,2001,f,65+,89
AF,2002,m,0-14,90
AF,2002,m,15-24,476
AF,2002,m,25-34,481
AF,2002,m,35-44,368
AF,2002,m,45-54,246
AF,2002,m,55-64,241
AF,2002,m,65+,189
AF,2002,f,0-14,192
AF,2002,f,15-24,1119
AF,2002,f,25-34,1251
AF,2002,f,35-44,792
AF,2002,f,45-54,526
AF,2002,f,55-64,320
AF,2002,f,65+,218
AF,2003,m,0-14,127
AF,2003,m,15-24,511
AF,2003,m,25-34,436
AF,2003,m,35-44,284
AF,2003,m,45-54,256
AF,2003,m,55-64,288
AF,2003,m,65+,203
AF,2003,f,0-14,245
AF,2003,f,15-24,1152
AF,2003,f,25-34,1287
AF,2003,f,35-44,814
AF,2003,f,45-54,462
AF,2003,f,55-64,305
AF,2003,f,65+,158
AF,2004,m,0-14,139
AF,2004,m,15-24,537
AF,2004,m,25-34,568
AF,2004,m,35-44,360
AF,2004,m,45-54,358
AF,2004,m,55-64,386
AF,2004,m,65+,310
AF,2004,f,0-14,256
AF,2004,f,15-24,1360
AF,2004,f,25-34,1561
AF,2004,f,35-44,1096
AF,2004,f,45-54,645
AF,2004,f,55-64,413
