hotel_name,hotel_stars_count,location,rating,room_type1,occupancy1,summer_price1,room_type2,occupancy2,summer_price2,room_type3,occupancy3,summer_price3,amenities_list
Семеен хотел Къщата с кивито,,Созопол,,стандартна стая,2,70 лв,стандартна стая,4,90 лв,лукс стая,2,75 лв,"['барбекю', 'камина', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'гладене', 'електрическа кана']"
Хотел Антеа Сердика,,Созопол,9.6,апартамент,2,170 лв,апартамент,2,200 лв,лукс апартамент,2,200 лв,"['ресторант', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'електрическа кана', 'асансьор']"
Хотел Сънрайз,3.0,Созопол,8.9,апартамент,3,176 лв,апартамент,4,195 лв,апартамент,5,285 лв,"['открит басейн', 'паркинг', 'рент-а-кар', 'детски басейн', 'телевизор', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'пералня', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'плащане с карта', 'лятна градина']"
Комплекс Лазур,3.0,Созопол,,стандартна стая,2,100 лв,стандартна стая,3,100 лв,стандартна стая,4,120 лв,"['открит басейн', 'паркинг', 'детски басейн', 'барбекю', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'кухненски бокс', 'бизнес услуги', 'дом. любимци', 'бар-басейн', 'електрическа кана', 'готварска печка']"
Семеен хотел Бриз,3.0,Созопол,9.1,стандартна стая,2,135 лв,стандартна стая,3,156 лв,студио,3,166 лв,"['паркинг', 'ресторант', 'сейф', 'детски кът', 'лоби бар', 'кафене', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта']"
Хотел Ефект Свети Мина,2.0,Созопол,9.0,,,,,,,,,,"['тенис на маса', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'интернет', 'баня/тоалетна', 'изглед', 'ютия', 'сешоар', 'плащане с карта', 'лятна градина']"
Хотел Роял Калисто,3.0,Созопол,9.1,лукс стая,2,220 лв,апартамент,4,330 лв,лукс апартамент,6,460 лв,"['открит басейн', 'паркинг', 'ресторант', 'сейф', 'детски кът', 'детски басейн', 'лоби бар', 'телевизор', 'кабелна тв', 'климатик', 'хладилник', 'телефон', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'вана', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта', 'дом. любимци', 'кафе машина', 'лятна градина', 'електрическа кана']"
Хотел Каса де Оро,,Созопол,9.5,апартамент,3,400 лв,апартамент,4,600 лв,,,,"['паркинг', 'кафене', 'телевизор', 'кухня', 'сателитна тв', 'климатик', 'отопление', 'хладилник', 'интернет', 'баня/тоалетна', 'микровълнова', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'плащане с карта', 'кафе машина', 'лятна градина', 'електрическа кана']"
Хотел Антеа,4.0,Созопол,9.5,стандартна стая,2,315 лв,студио,3,415 лв,апартамент,4,515 лв,"['ресторант', 'фитнес', 'рент-а-кар', 'сауна', 'сейф', 'рум сервиз', 'детски кът', 'детски басейн', 'лоби бар', 'телевизор', 'кабелна тв', 'сателитна тв', 'климатик', 'хладилник', 'мини-бар', 'телефон', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'закрит басейн', 'вана', 'ютия', 'сешоар', 'пране', 'гладене', 'плащане с карта', 'хим. чистене', 'дом. любимци', 'кафе машина', 'достъп за инвалиди', 'SPA център', 'електрическа кана']"
Семеен хотел Емилия,3.0,Созопол,9.7,стандартна стая,1,80 лв,стандартна стая,1,80 лв,студио,3,95 лв,"['паркинг', 'телевизор', 'кабелна тв', 'климатик', 'отопление', 'хладилник', 'мини-бар', 'интернет', 'баня/тоалетна', 'тераса', 'изглед', 'ютия', 'сешоар', 'кухненски бокс', 'гладене', 'кафе машина', 'лятна градина']"
